"Date","Source","Site ID","POC","Daily Mean PM2.5 Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"01/01/2021","AQS","180570007","3","8.4","ug/m3 LC","35","11775 Brooks School Rd.","1","100.0000","88101","PM2.5 - Local Conditions","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","057","Hamilton","39.96088418","-85.939546219"
"01/02/2021","AQS","180570007","3","3.5","ug/m3 LC","15","11775 Brooks School Rd.","1","100.0000","88101","PM2.5 - Local Conditions","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","057","Hamilton","39.96088418","-85.939546219"
"01/03/2021","AQS","180570007","3","5.4","ug/m3 LC","23","11775 Brooks School Rd.","1","100.0000","88101","PM2.5 - Local Conditions","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","057","Hamilton","39.96088418","-85.939546219"
"01/04/2021","AQS","180570007","3","9.1","ug/m3 LC","38","11775 Brooks School Rd.","1","100.0000","88101","PM2.5 - Local Conditions","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","057","Hamilton","39.96088418","-85.939546219"
"01/05/2021","AQS","180570007","3","9.4","ug/m3 LC","39","11775 Brooks School Rd.","1","100.0000","88101","PM2.5 - Local Conditions","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","057","Hamilton","39.96088418","-85.939546219"
"01/06/2021","AQS","180570007","3","8.7","ug/m3 LC","36","11775 Brooks School Rd.","1","100.0000","88101","PM2.5 - Local Conditions","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","057","Hamilton","39.96088418","-85.939546219"
"01/07/2021","AQS","180570007","3","7.4","ug/m3 LC","31","11775 Brooks School Rd.","1","100.0000","88101","PM2.5 - Local Conditions","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","057","Hamilton","39.96088418","-85.939546219"
"01/08/2021","AQS","180570007","3","6","ug/m3 LC","25","11775 Brooks School Rd.","1","100.0000","88101","PM2.5 - Local Conditions","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","057","Hamilton","39.96088418","-85.939546219"
"01/09/2021","AQS","180570007","3","11.3","ug/m3 LC","47","11775 Brooks School Rd.","1","100.0000","88101","PM2.5 - Local Conditions","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","057","Hamilton","39.96088418","-85.939546219"
"01/10/2021","AQS","180570007","3","16.9","ug/m3 LC","61","11775 Brooks School Rd.","1","100.0000","88101","PM2.5 - Local Conditions","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","057","Hamilton","39.96088418","-85.939546219"
"01/11/2021","AQS","180570007","3","12.2","ug/m3 LC","51","11775 Brooks School Rd.","1","100.0000","88101","PM2.5 - Local Conditions","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","057","Hamilton","39.96088418","-85.939546219"
"01/12/2021","AQS","180570007","3","15.4","ug/m3 LC","58","11775 Brooks School Rd.","1","100.0000","88101","PM2.5 - Local Conditions","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","057","Hamilton","39.96088418","-85.939546219"
"01/13/2021","AQS","180570007","3","13.7","ug/m3 LC","54","11775 Brooks School Rd.","1","100.0000","88101","PM2.5 - Local Conditions","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","057","Hamilton","39.96088418","-85.939546219"
"01/14/2021","AQS","180570007","3","11.2","ug/m3 LC","47","11775 Brooks School Rd.","1","100.0000","88101","PM2.5 - Local Conditions","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","057","Hamilton","39.96088418","-85.939546219"
"01/15/2021","AQS","180570007","3","4.8","ug/m3 LC","20","11775 Brooks School Rd.","1","100.0000","88101","PM2.5 - Local Conditions","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","057","Hamilton","39.96088418","-85.939546219"
"01/16/2021","AQS","180570007","3","7","ug/m3 LC","29","11775 Brooks School Rd.","1","100.0000","88101","PM2.5 - Local Conditions","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","057","Hamilton","39.96088418","-85.939546219"
"01/17/2021","AQS","180570007","3","5","ug/m3 LC","21","11775 Brooks School Rd.","1","100.0000","88101","PM2.5 - Local Conditions","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","057","Hamilton","39.96088418","-85.939546219"
"01/18/2021","AQS","180570007","3","9.8","ug/m3 LC","41","11775 Brooks School Rd.","1","100.0000","88101","PM2.5 - Local Conditions","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","057","Hamilton","39.96088418","-85.939546219"
"01/19/2021","AQS","180570007","3","8.1","ug/m3 LC","34","11775 Brooks School Rd.","1","100.0000","88101","PM2.5 - Local Conditions","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","057","Hamilton","39.96088418","-85.939546219"
"01/20/2021","AQS","180570007","3","7","ug/m3 LC","29","11775 Brooks School Rd.","1","100.0000","88101","PM2.5 - Local Conditions","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","057","Hamilton","39.96088418","-85.939546219"
"01/21/2021","AQS","180570007","3","4.2","ug/m3 LC","18","11775 Brooks School Rd.","1","100.0000","88101","PM2.5 - Local Conditions","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","057","Hamilton","39.96088418","-85.939546219"
"01/22/2021","AQS","180570007","3","4.2","ug/m3 LC","18","11775 Brooks School Rd.","1","100.0000","88101","PM2.5 - Local Conditions","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","057","Hamilton","39.96088418","-85.939546219"
"01/23/2021","AQS","180570007","3","8.6","ug/m3 LC","36","11775 Brooks School Rd.","1","100.0000","88101","PM2.5 - Local Conditions","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","057","Hamilton","39.96088418","-85.939546219"
"01/24/2021","AQS","180570007","3","8.9","ug/m3 LC","37","11775 Brooks School Rd.","1","100.0000","88101","PM2.5 - Local Conditions","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","057","Hamilton","39.96088418","-85.939546219"
"01/25/2021","AQS","180570007","3","10.5","ug/m3 LC","44","11775 Brooks School Rd.","1","100.0000","88101","PM2.5 - Local Conditions","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","057","Hamilton","39.96088418","-85.939546219"
"01/26/2021","AQS","180570007","3","7.7","ug/m3 LC","32","11775 Brooks School Rd.","1","100.0000","88101","PM2.5 - Local Conditions","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","057","Hamilton","39.96088418","-85.939546219"
"01/27/2021","AQS","180570007","3","6.2","ug/m3 LC","26","11775 Brooks School Rd.","1","100.0000","88101","PM2.5 - Local Conditions","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","057","Hamilton","39.96088418","-85.939546219"
"01/28/2021","AQS","180570007","3","8.6","ug/m3 LC","36","11775 Brooks School Rd.","1","100.0000","88101","PM2.5 - Local Conditions","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","057","Hamilton","39.96088418","-85.939546219"
"01/29/2021","AQS","180570007","3","7.6","ug/m3 LC","32","11775 Brooks School Rd.","1","100.0000","88101","PM2.5 - Local Conditions","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","057","Hamilton","39.96088418","-85.939546219"
"01/30/2021","AQS","180570007","3","9","ug/m3 LC","38","11775 Brooks School Rd.","1","100.0000","88101","PM2.5 - Local Conditions","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","057","Hamilton","39.96088418","-85.939546219"
"01/31/2021","AQS","180570007","3","6.1","ug/m3 LC","25","11775 Brooks School Rd.","1","100.0000","88101","PM2.5 - Local Conditions","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","057","Hamilton","39.96088418","-85.939546219"
"02/01/2021","AQS","180570007","3","6.3","ug/m3 LC","26","11775 Brooks School Rd.","1","100.0000","88101","PM2.5 - Local Conditions","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","057","Hamilton","39.96088418","-85.939546219"
"02/02/2021","AQS","180570007","3","7.9","ug/m3 LC","33","11775 Brooks School Rd.","1","100.0000","88101","PM2.5 - Local Conditions","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","057","Hamilton","39.96088418","-85.939546219"
"02/03/2021","AQS","180570007","3","9.9","ug/m3 LC","41","11775 Brooks School Rd.","1","100.0000","88101","PM2.5 - Local Conditions","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","057","Hamilton","39.96088418","-85.939546219"
"02/04/2021","AQS","180570007","3","8.9","ug/m3 LC","37","11775 Brooks School Rd.","1","100.0000","88101","PM2.5 - Local Conditions","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","057","Hamilton","39.96088418","-85.939546219"
"02/05/2021","AQS","180570007","3","7","ug/m3 LC","29","11775 Brooks School Rd.","1","100.0000","88101","PM2.5 - Local Conditions","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","057","Hamilton","39.96088418","-85.939546219"
"02/06/2021","AQS","180570007","3","5.5","ug/m3 LC","23","11775 Brooks School Rd.","1","100.0000","88101","PM2.5 - Local Conditions","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","057","Hamilton","39.96088418","-85.939546219"
"02/07/2021","AQS","180570007","3","6.2","ug/m3 LC","26","11775 Brooks School Rd.","1","100.0000","88101","PM2.5 - Local Conditions","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","057","Hamilton","39.96088418","-85.939546219"
"02/08/2021","AQS","180570007","3","12.4","ug/m3 LC","52","11775 Brooks School Rd.","1","100.0000","88101","PM2.5 - Local Conditions","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","057","Hamilton","39.96088418","-85.939546219"
